make_0,make_1,make_2,make_3,make_4,make_5,make_6,make_7,make_8,make_9,vehicle_age,overall_rating
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,17.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,8.0,5
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,8.0,5
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,8.0,5
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,8.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,8.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,12.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,5
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,6.0,3
0.58685654,-0.48057973,0.7006596,-2.159455,-0.33665398,-1.8491883,-0.79011434,1.0521133,2.8234408,-1.717513,9.0,4
0.58685654,-0.48057973,0.7006596,-2.159455,-0.33665398,-1.8491883,-0.79011434,1.0521133,2.8234408,-1.717513,9.0,4
0.58685654,-0.48057973,0.7006596,-2.159455,-0.33665398,-1.8491883,-0.79011434,1.0521133,2.8234408,-1.717513,9.0,5
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,5
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,5
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,5
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,3
0.8989873,0.058487274,1.3875834,-0.50984585,-0.5908524,0.43788537,-0.6782638,1.1347988,1.9813962,-1.3938605,4.0,3
-0.8584797,0.28377238,1.9573157,0.43406168,0.47578132,0.0074588386,-0.19456571,-0.35509115,0.1473433,1.034901,1.0,4
-0.8584797,0.28377238,1.9573157,0.43406168,0.47578132,0.0074588386,-0.19456571,-0.35509115,0.1473433,1.034901,1.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,2
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,5
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,3
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,4
1.2719477,-1.8545464,0.25675088,1.4055468,-0.12705795,-0.49074635,-0.5139439,-0.049678456,0.97753865,0.8955549,2.0,2
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,16.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,2.0,5
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,2.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,2.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,2.0,4
1.0796967,1.2757558,-2.1200223,0.44321096,-0.032822173,-1.8734193,0.642528,1.523962,1.4133124,0.5222303,2.0,4
