CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-05-23,14:50,MANHATTAN,10025.0,40.7991318,-73.9666629,"(40.7991318, -73.9666629)",WEST 104 STREET                 ,AMSTERDAM AVENUE                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,58639,PASSENGER VEHICLE,,,,,2013
2013-06-03,18:30,MANHATTAN,10026.0,40.798243,-73.9524618,"(40.798243, -73.9524618)",WEST 110 STREET                 ,LENOX AVENUE                    ,,0.0,0.0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,64340,SPORT UTILITY / STATION WAGON,VAN,,,,2013
2013-05-21,13:37,,,,,,,,,2.0,0.0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,2864650,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,2013
2013-05-24,18:25,,,,,,WEST 110 STREET                 ,8 AVENUE                        ,,1.0,0.0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,64311,TAXI,,,,,2013
2013-06-10,21:10,QUEENS,11372.0,40.7473426,-73.8867166,"(40.7473426, -73.8867166)",ROOSEVELT AVENUE                ,79 STREET                       ,,1.0,0.0,1,0,0,0,0,0,Other Vehicular,,,,,282320,SPORT UTILITY / STATION WAGON,,,,,2013
2013-06-06,11:05,,,40.7393734,-73.7918854,"(40.7393734, -73.7918854)",,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3033944,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,2013
2013-05-28,17:25,QUEENS,11420.0,40.6795239,-73.8107589,"(40.6795239, -73.8107589)",130 STREET                      ,115 AVENUE                      ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,230655,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-29,18:30,QUEENS,11420.0,40.6825399,-73.8071557,"(40.6825399, -73.8071557)",LINDEN BOULEVARD                ,135 STREET                      ,,1.0,0.0,0,0,1,0,0,0,Outside Car Distraction,Unspecified,,,,230662,PASSENGER VEHICLE,BICYCLE,,,,2013
2013-06-07,16:58,BRONX,10457.0,40.8449018,-73.8900961,"(40.8449018, -73.8900961)",EAST TREMONT AVENUE             ,CLINTON AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,101444,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-09,15:50,QUEENS,11362.0,40.7607987,-73.7352899,"(40.7607987, -73.7352899)",248 STREET                      ,THORNHILL AVENUE                ,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,261972,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
